TrainStatus,TrainLatitude,TrainLongitude,TrainCode,TrainDate,PublicMessage,Direction
N,51.8491,-8.29956,P536,29 Jan 2026,P536\nCobh to Cork\nExpected Departure 20:30,To Cork
N,51.9018,-8.4582,D578,29 Jan 2026,D578\nCork to Midleton\nExpected Departure 20:15,To Midleton
N,52.2667,-7.1183,A531,29 Jan 2026,A531\nWaterford to Dublin Heuston\nExpected Departure 20:20,To Dublin Heuston
N,53.1442,-6.06085,E844,29 Jan 2026,E844\nGreystones to Malahide\nExpected Departure 20:31,Northbound
N,53.2043,-6.10046,E946,29 Jan 2026,E946\nBray to Howth\nExpected Departure 20:27,Northbound
N,53.3397,-6.23773,D423,29 Jan 2026,D423\nGrand Canal Dock to Hazelhatch\nExpected Departure 20:30,Southbound
N,53.3831,-6.4242,D327,29 Jan 2026,D327\nClonsilla to M3 Parkway\nExpected Departure 20:22,Northbound
R,0,0,A224,29 Jan 2026,A224\n18:00 - Dublin Heuston to Cork (0 mins late)\nDeparted Killarney Junction next stop Cork,To Cork
R,0,0,A227,29 Jan 2026,A227\n18:25 - Cork to Dublin Heuston (8 mins late)\nDeparted PL103 next stop Portlaoise,To Dublin Heuston
R,0,0,A724,29 Jan 2026,A724\n17:31 - Dublin Heuston to Galway (5 mins late)\nDeparted GL368 next stop Oranmore,To Galway
R,0,0,A726,29 Jan 2026,A726\n18:30 - Dublin Heuston to Galway (5 mins late)\nDeparted Athlone Midland Yard next stop Ballinasloe,To Galway
R,0,0,A730,29 Jan 2026,A730\n20:30 - Dublin Heuston to Galway (-26 mins late)\nArrived Inchicore Advance Starter next stop Portarlington,To Galway
R,0,0,A808,29 Jan 2026,A808\n18:15 - Dublin Heuston to Westport (2 mins late)\nDeparted Athlone Midland Yard next stop Roscommon,To Westport
R,0,0,A811,29 Jan 2026,A811\n18:30 - Westport to Dublin Heuston (-1 mins late)\nDeparted Athlone Midland Yard next stop Athlone,To Dublin Heuston
R,0,0,D537,29 Jan 2026,D537\n19:30 - Mallow to Cobh (0 mins late)\nDeparted Killarney Junction next stop Cork,To Cobh
R,52.1396,-8.65521,A312,29 Jan 2026,A312\n17:05 - Dublin Heuston to Tralee (0 mins late)\nDeparted Mallow next stop Banteer,To Tralee
R,52.5009,-8.20003,A229,29 Jan 2026,A229\n19:25 - Cork to Dublin Heuston (-1 mins late)\nArrived Limerick Junction next stop Thurles,To Dublin Heuston
R,52.6404,-8.52719,A478,29 Jan 2026,A478\n19:42 - Limerick Junction to Ennis (1 mins late)\nDeparted Killonan next stop Limerick,To Ennis
